Model	releaseDate	MaxResolution	MinResolution	effectivePixels	zoomWide	ZoomTele	normalFocus	macroFocus	storageIncluded	weight	dimensions	Price
Fujifilm FinePix F610	2003	4048	2848	6	35	105	60	9	16	205	72	169
Fujifilm FinePix F700	2003	2832	2048	3	35	105	60	9	16	205	108	169
Fujifilm FinePix S3000 Z	2003	2048	1600	3	38	228	80	10	16	400	100	229
Fujifilm FinePix S5000 Z	2003	2816	2048	3	37	370	90	10	16	430	113	229
Fujifilm FinePix S7000 Z	2003	4048	2848	6	35	210	50	1	16	590	121	229
HP Photosmart 435	2003	2048	640	3	36	36	85	85	16	190	117	179
HP Photosmart 635	2003	1636	640	2	38	114	80	10	16	240	240	179
HP Photosmart 735	2003	2080	0	3	38	114	0	0	16	290	105	179
HP Photosmart 935	2003	2608	1296	5	37	111	50	14	32	260	97	179
HP Photosmart 945	2003	2608	1296	5	37	300	50	10	32	500	123	179
Kodak CX6200	2003	1632	0	2	37	37	50	50	8	195	104	129
Kodak CX6230	2003	1632	0	2	36	108	50	50	16	225	104	129
Kodak CX6330	2003	2032	0	3	37	111	60	60	16	225	103	126
Kodak DX4530	2003	2580	0	5	38	114	60	7	32	210	111	126
Kodak DX6340	2003	2032	0	3	36	144	50	10	16	280	109	126
Kodak DX6440	2003	2304	0	4	33	132	50	10	16	270	109	129
Kodak DX6490	2003	2304	0	4	38	380	60	12	16	380	100	129
Kodak LS633	2003	2041	0	3	37	111	60	13	16	260	114	126
Kyocera Finecam L30	2003	2048	1024	3	38	115	60	20	16	220	111	169
Kyocera Finecam L3V	2003	2048	1600	3	38	115	60	20	16	220	112	169
Kyocera Finecam L4V	2003	2304	1600	4	35	105	60	20	16	220	112	199
Kyocera Finecam S3R	2003	2048	1600	3	35	105	60	17	16	205	92	1699
Kyocera Finecam S5R	2003	2560	1600	5	35	105	60	17	16	205	92	1699
Kyocera Finecam SL300R	2003	2048	1600	3	35	115	60	20	16	175	100	229
Leica Digilux 2	2003	2560	2048	4	28	90	30	30	64	705	135	249
Nikon Coolpix 2100	2003	1600	1024	1	36	108	30	4	8	215	88	99
Nikon Coolpix 3100	2003	2048	1600	3	38	115	30	4	16	215	88	99
Nikon Coolpix 3700	2003	2048	1600	3	35	105	30	3	16	162	95.5	229
Nikon Coolpix 5400	2003	2592	1600	5	28	116	50	1	16	400	108	229
Nikon Coolpix SQ	2003	2016	1600	3	37	111	30	4	16	216	83	199
Nikon D2H	2003	2464	1840	4	0	0	0	0	0	1200	158	1599
Olympus C-5000 Zoom	2003	2560	2272	4	38	114	50	4	32	280	105	449
Olympus C-5060 Zoom	2003	2592	2288	5	27	110	80	3	32	480	116	449
Olympus C-740 UZ	2003	2048	1600	3	38	380	60	3	16	340	108	449
Olympus C-750 UZ	2003	2288	2048	3	38	380	60	3	16	340	108	449
Olympus D-390	2003	1600	1024	1	35	35	50	20	16	230	108	1699
Olympus D-560 Zoom	2003	2048	1024	3	35	105	50	20	16	220	108	449
Olympus E-1	2003	2560	1600	4	0	0	0	0	0	735	141	1699
Olympus Stylus 300 	2003	2048	1600	3	35	105	50	20	16	220	99	229
Olympus Stylus 400 	2003	2272	2048	3	35	105	50	20	16	220	99	229
Panasonic Lumix DMC-FX1	2003	2048	1600	3	35	105	50	10	16	185	0	1499
Panasonic Lumix DMC-FX5	2003	2304	1600	4	35	105	50	10	16	185	0	1499
Panasonic Lumix DMC-FZ10	2003	2304	1600	4	35	420	30	5	16	550	87	149
Panasonic Lumix DMC-FZ2	2003	1600	1280	2	35	420	30	5	0	350	114	149
Panasonic Lumix DMC-LC33	2003	2048	1600	3	35	105	50	10	32	215	96	1499
Panasonic Lumix DMC-LC43	2003	2304	1600	4	35	105	50	10	32	215	96	1499
Pentax *ist D	2003	3008	2400	6	0	0	0	0	0	650	129	799
Pentax Optio 33L	2003	2048	1600	3	38	114	40	10	16	225	105	269
Pentax Optio 33LF	2003	2048	1600	3	38	114	40	10	12	225	109	269
Pentax Optio 33WR	2003	2048	1600	3	37	104	30	1	16	208	82	269
Pentax Optio 450	2003	2288	1600	3	37	187	60	2	16	250	100	149
Pentax Optio 550	2003	2592	2048	5	37	187	60	2	16	250	100	149
Pentax Optio 555	2003	2592	2048	5	37	187	60	2	16	250	100	149
Pentax Optio S	2003	2048	1024	3	35	105	40	6	16	115	83	149
Pentax Optio S4	2003	2304	1600	4	35	105	40	6	11	115	83	149
Ricoh Caplio G3	2003	2048	1280	3	35	105	30	1	8	230	124	99
Samsung Digimax V4	2003	2272	1120	3	38	114	80	6	0	210	106	229
Samsung Digimax U-CA 3	2003	2048	2048	3	35	114	80	5	0	134	102	229
Sanyo DSC-J1	2003	2048	1600	3	37	104	20	2	8	205	98	429
Sanyo DSC-S1	2003	2048	1600	3	36	108	50	16	8	190	100	149
Sigma SD10	2003	2268	1134	3	0	0	0	0	0	950	152	1599
Sony Mavica CD350	2003	2048	1632	3	41	123	50	10	1	522	132	1399
Sony Mavica CD500	2003	2592	2048	5	34	102	50	4	1	606	139	1399
Sony DSC-F828	2003	3264	2592	8	28	200	50	2	0	906	134	429
Sony DSC-P10	2003	2592	2048	5	38	114	50	10	32	206	105	149
Sony DSC-P32	2003	2048	1632	3	33	33	10	10	16	217	101	429
Sony DSC-P52	2003	2048	1632	3	41	82	8	8	16	280	123	429
Sony DSC-P72	2003	2048	1632	3	39	117	50	10	16	259	120	149
Sony DSC-P8	2003	2048	1632	3	39	117	50	10	16	206	105	429
Sony DSC-P92	2003	2592	2048	5	38	114	50	10	16	259	120	429
Sony DSC-T1	2003	2592	2048	5	38	114	25	1	32	180	91	399
Sony DSC-U30	2003	1632	640	2	33	33	10	10	8	130	85	149
Sony DSC-U40	2003	1632	640	2	33	33	10	10	8	130	83	149
Sony DSC-U50	2003	1632	640	2	33	33	10	10	8	132	100	149
Sony DSC-U60	2003	1632	640	2	33	33	10	10	8	200	60	149
Sony DSC-V1	2003	2592	2048	5	34	136	40	10	32	298	99	429
Toshiba PDR-4300	2003	2400	1200	3	35	100	80	10	16	0	0	599
Toshiba PDR-5300	2003	2560	2048	4	35	105	80	10	16	230	93	177
Canon PowerShot A310	2004	2048	1600	3	33	33	0	5	0	205	110	139
Canon PowerShot A400	2004	2048	1600	3	45	100	0	5	16	255	107	139
Canon PowerShot A75	2004	2048	1600	3	35	105	46	5	32	315	101	139
Canon PowerShot A85	2004	2272	1600	4	35	105	0	5	32	300	101	139
Canon PowerShot A95	2004	2592	2048	5	38	114	45	5	32	335	101	139
Canon EOS-1D Mark II	2004	3504	3104	8	0	0	0	0	0	1565	156	4499
Canon EOS-1Ds Mark II	2004	4992	3600	16	0	0	0	0	0	1565	156	7999
Canon EOS 20D	2004	3504	2544	8	0	0	0	0	0	770	144	1299
Canon PowerShot G6	2004	3072	2592	7	35	140	50	5	32	467	105	499
Canon PowerShot Pro1	2004	3264	2272	8	28	200	50	3	64	640	118	139
Canon PowerShot S1 IS	2004	2048	1600	3	38	380	10	10	32	469	111	399
Canon PowerShot S410	2004	2272	1600	3	36	108	0	5	32	215	87	139
Canon PowerShot S500	2004	2592	2048	5	36	108	0	5	32	215	87	149
Canon PowerShot S60	2004	2592	1600	5	28	100	50	4	32	300	114	399
Canon PowerShot S70	2004	3072	2592	7	28	100	50	4	32	300	114	399
Canon PowerShot SD110	2004	2048	1600	3	35	70	0	10	16	195	85	199
Canon PowerShot SD20	2004	2592	2048	5	39	39	0	3	32	140	90	199
Canon PowerShot SD200	2004	2048	1600	3	35	105	0	3	16	135	86	199
Canon PowerShot SD300	2004	2272	1600	3	35	105	0	3	16	147	86	199
Casio Exilim EX-P600	2004	2816	2048	5	33	132	40	10	9	275	98	249
Casio Exilim EX-P700	2004	3072	2304	7	33	132	40	10	9	275	98	249
Casio Exilim EX-S100	2004	2048	1600	3	36	102	40	17	9	123	88	249
Casio Exilim EX-Z30	2004	2048	1600	3	35	105	40	6	9	150	87	329
Casio Exilim EX-Z40	2004	2304	1600	4	35	105	40	6	9	150	87	329
Casio Exilim EX-Z50	2004	2560	2048	5	35	105	50	6	9	171	87	329
Casio Exilim EX-Z55	2004	2560	2048	5	35	105	50	6	9	180	87	329
Casio QV-R41	2004	2304	2240	3	39	117	60	10	9	198	88	249
Casio QV-R51	2004	2560	2048	4	39	117	60	10	9	210	88	249
Casio QV-R61	2004	2816	2048	6	39	117	70	10	9	218	88	249
Casio QV-R62	2004	2816	2048	6	39	117	70	10	9	218	88	249
Epson PhotoPC L-500V	2004	2560	1600	4	34	102	50	5	16	200	92	159
Epson PhotoPC L-410	2004	2304	1600	4	34	102	50	11	16	203	92	129
Epson R-D1	2004	3008	2240	6	0	0	0	0	0	620	142	4499
Fujifilm FinePix A120	2004	2016	1600	3	38	38	80	9	16	170	102	169
Fujifilm FinePix A330	2004	2016	1600	3	38	114	60	10	16	160	104	169
Fujifilm FinePix A340	2004	2272	1600	4	38	114	60	10	16	160	104	169
Fujifilm FinePix E500 Zoom	2004	2304	1600	4	28	91	60	6	16	226	101	169
Fujifilm FinePix E510 Zoom	2004	2592	2048	5	28	91	60	2	16	226	101	169
Fujifilm FinePix E550 Zoom	2004	4048	2048	6	32	130	60	7	16	260	105	169
Fujifilm FinePix F440 Zoom	2004	2304	1600	3	38	130	60	9	16	180	75	169
Fujifilm FinePix F450 Zoom	2004	2592	2048	5	38	130	60	9	16	180	75	199
Fujifilm FinePix F455 Zoom	2004	2592	2048	5	38	130	60	9	16	180	93	199
Fujifilm FinePix F710	2004	2832	2048	3	32	130	60	8	16	225	110	169
Fujifilm FinePix F810 Zoom	2004	4048	2848	6	32	130	60	7	16	250	110	169
Fujifilm FinePix S20 Pro	2004	2832	2016	6	35	210	50	1	16	597	121	1699
Fujifilm FinePix S3500 Zoom	2004	2272	1600	4	39	234	80	10	16	385	100	229
Fujifilm FinePix S5100 Zoom	2004	2272	1600	4	37	370	90	10	16	387	113	229
Fujifilm FinePix S3 Pro	2004	4256	3024	6	0	0	0	0	0	930	148	1699
HP Photosmart M307	2004	2080	1280	3	40	111	80	10	16	177	107	179
HP Photosmart M407	2004	2320	1280	4	40	111	50	10	16	190	95	179
HP Photosmart R507	2004	2320	1280	4	35	105	50	6	32	205	96	179
HP Photosmart R607	2004	2320	1280	4	35	105	50	14	32	205	96	179
HP Photosmart R707	2004	2608	1296	5	39	117	50	14	32	150	93	179
Kodak CX7220	2004	0	0	2	37	78	50	60	16	195	104	129
Kodak CX7300	2004	2096	0	3	37	37	80	0	16	162	104	126
Kodak CX7330	2004	2032	0	3	37	111	60	13	16	225	103	126
Kodak CX7430	2004	2408	0	4	34	102	60	10	16	198	103	126
Kodak CX7530	2004	2560	0	4	34	102	60	10	32	240	103	126
Kodak DCS SLR/c	2004	4500	3000	13	0	0	0	0	0	1000	137	129
Kodak DCS SLR/n	2004	4500	3000	13	0	0	0	0	0	1000	131	129
Kodak DX7440	2004	2304	2048	4	33	132	50	10	32	270	100	129
Kodak DX7590	2004	2576	2576	5	38	380	60	12	32	400	97	126
Kodak DX7630	2004	2872	0	6	39	117	60	7	32	270	100	126
Kodak LS743	2004	2304	0	4	36	100	60	12	16	220	108	126
Kodak LS753	2004	2569	0	5	36	108	60	12	32	220	108	126
Kodak LS755	2004	2592	2288	5	36	108	70	5	16	210	95	126
Kyocera Finecam M400R	2004	2272	1600	4	37	370	60	10	0	340	107	169
Kyocera Finecam M410R	2004	2272	1600	4	37	370	60	10	0	340	107	179
Kyocera Finecam SL400R	2004	2272	1600	3	35	115	60	20	16	155	100	229
Nikon Coolpix 2200	2004	1600	1024	1	36	108	30	4	14	190	88	229
Nikon Coolpix 3200	2004	2048	1600	3	38	115	30	4	14	190	88	229
Nikon Coolpix 4100	2004	2288	1600	3	35	105	0	0	14	190	88	99
Nikon Coolpix 4200	2004	2272	2048	3	38	114	30	4	12	180	88	229
Nikon Coolpix 4800	2004	2288	1600	4	36	300	40	1	13	295	106	229
Nikon Coolpix 5200	2004	2592	2048	5	38	114	30	4	12	180	88	229
Nikon Coolpix 8400	2004	3264	2592	8	24	85	50	3	0	470	113	229
Nikon Coolpix 8700	2004	3264	2592	8	35	280	50	3	0	512	113	229
Nikon Coolpix 8800	2004	3264	2592	8	35	350	50	3	0	680	116	229
Nikon D2X	2004	4288	3216	12	0	0	0	0	0	1200	158	4699
Nikon D70	2004	3008	2240	6	0	0	0	0	0	679	140	1599
Olympus C-60 Zoom	2004	2816	2560	5	38	114	40	4	32	230	99	449
Olympus C-7000 Zoom	2004	3072	2592	7	38	190	60	2	32	280	102	129
Olympus C-765 UZ	2004	2288	2048	3	38	380	60	7	16	310	105	449
Olympus C-770 UZ	2004	2288	2048	3	38	380	60	7	32	310	105	449
Olympus C-8080 Wide Zoom	2004	3264	2592	8	28	140	80	5	32	724	124	179
Olympus D-395	2004	2048	1024	3	33	33	50	20	16	210	110	1699
Olympus D-535 Zoom	2004	2048	1600	3	38	114	50	2	12	190	88	449
Olympus D-540 Zoom	2004	2048	1600	3	38	114	50	2	16	200	100	449
Olympus D-580 Zoom	2004	2288	1600	3	35	105	50	7	16	210	108	179
Olympus E-300	2004	3264	3200	8	0	0	0	0	0	624	147	1699
Olympus Stylus 410 	2004	2272	2048	3	35	105	50	20	16	200	99	229
Olympus Stylus 500 	2004	2560	2048	4	35	105	50	7	32	200	99	229
Olympus Stylus Verve 	2004	2272	2048	3	35	70	50	8	16	165	95	229
Panasonic Lumix DMC-FX2	2004	2304	1600	4	35	105	50	5	16	148	94	1499
Panasonic Lumix DMC-FX7	2004	2560	2048	4	35	105	50	5	16	153	94	1499
Panasonic Lumix DMC-FZ20	2004	2560	2048	5	36	432	30	5	16	556	87	149
Panasonic Lumix DMC-FZ3	2004	2016	1600	3	35	420	30	5	16	326	108	299
Panasonic Lumix DMC-LC1	2004	2560	2048	4	28	90	30	30	16	705	135	1499
Panasonic Lumix DMC-LC50	2004	2048	1600	3	35	105	50	10	16	210	65	1499
Panasonic Lumix DMC-LC70	2004	2304	1600	4	35	105	50	10	16	210	65	1499
Panasonic Lumix DMC-LC80	2004	2560	2048	4	35	105	50	10	16	207	88	1499
Pentax *ist DS	2004	3008	2400	6	0	0	0	0	0	605	125	799
Pentax Optio 30	2004	2048	1600	3	38	114	50	2	16	180	94	149
Pentax Optio 43WR	2004	2288	1600	3	37	104	30	1	16	200	82	269
Pentax Optio 750Z	2004	3056	2592	7	37	187	60	2	32	255	100	149
Pentax Optio MX4	2004	2304	1600	4	37	370	40	10	16	375	73	149
Pentax Optio S30	2004	2048	1600	3	38	114	40	6	11	175	89	269
Pentax Optio S40	2004	2304	1600	4	35	105	40	6	11	175	89	149
Pentax Optio S4i	2004	2304	1600	4	35	105	40	6	10	120	84	149
Pentax Optio S50	2004	2560	2304	5	35	107	40	6	11	180	89	149
Pentax Optio S5i	2004	2560	2048	4	36	107	40	6	10	120	84	149
Pentax Optio SV	2004	2560	2048	5	36	180	60	3	32	165	91	149
Pentax Optio X	2004	2560	2048	5	36	107	40	6	14	145	112	149
Ricoh Caplio RX	2004	2048	1280	3	28	100	30	1	8	215	112	99
Samsung Digimax 202	2004	1600	1024	1	35	47	120	19	6	135	98	229
Samsung Digimax 250	2004	1600	1024	1	35	76	80	15	6	210	107	229
Samsung Digimax 301	2004	2048	1600	3	35	33	10	19	16	137	98	299
Samsung Digimax 370	2004	2048	1620	3	35	114	80	5	0	157	108	229
Samsung Digimax 401	2004	2048	1600	4	35	33	10	19	16	137	98	299
Samsung Digimax 430	2004	2272	2048	3	35	114	80	5	32	210	107	229
Samsung Digimax 530	2004	2592	2048	5	38	114	80	6	32	195	110	229
Samsung Digimax U-CA 4	2004	2272	2048	4	35	105	80	5	0	169	102	229
Samsung Digimax U-CA 401	2004	2272	1136	3	35	35	60	6	0	165	97	229
Samsung Digimax V40	2004	2272	2048	3	35	113	80	5	0	230	106	229
Samsung Digimax V5	2004	2592	2272	5	38	114	80	5	0	180	106	229
Samsung Digimax V50	2004	2592	2272	5	35	113	80	5	256	230	106	229
Samsung Digimax V6	2004	2816	2560	6	38	114	80	6	0	220	106	229
Sanyo Xacti DSC-S3	2004	2048	1600	3	37	112	50	2	16	185	91	1399
Sanyo Xacti DSC-S4	2004	2288	1600	3	37	105	50	2	16	185	91	1399
Sony DSC-F88	2004	2592	2048	5	38	114	50	8	32	202	98	429
Sony DSC-L1	2004	2304	1280	4	32	96	12	12	16	152	95	429
Sony DSC-M1	2004	2592	2048	5	38	114	50	8	32	215	51	429
Sony DSC-P100	2004	2592	2048	5	38	114	50	10	32	180	108	149
Sony DSC-P150	2004	3072	2592	7	38	114	50	6	32	180	108	149
Sony DSC-P41	2004	2272	1600	3	33	33	10	10	16	180	106	429
Sony DSC-P73	2004	2272	1600	3	39	117	50	10	16	243	116	149
Sony DSC-P93	2004	2592	2048	5	38	114	50	10	32	236	117	429
Sony DSC-T11	2004	2592	2048	5	38	114	50	8	32	186	103	399
Sony DSC-T3	2004	2592	2048	5	38	114	50	8	32	186	90	399
Sony DSC-V3	2004	3072	2592	7	34	136	40	10	0	390	120	429
Sony DSC-W1	2004	2592	2048	5	38	114	50	6	32	250	91	429
Canon PowerShot A410	2005	2048	1600	3	41	131	0	1	16	195	103	139
Canon PowerShot A510	2005	2048	1600	3	35	140	0	5	16	230	91	139
Canon PowerShot A520	2005	2272	1600	3	35	140	0	5	16	230	91	149
Canon PowerShot A610	2005	2592	2592	5	35	140	0	1	16	285	105	139
Canon PowerShot A620	2005	3072	3072	7	35	140	0	1	32	285	105	139
Canon EOS-1D Mark II N	2005	3504	3104	8	0	0	0	0	0	1565	156	4499
Canon EOS 20Da	2005	3504	2544	8	0	0	0	0	0	770	144	1299
Canon EOS 350D / Digital Rebel XT	2005	3456	2496	8	0	0	0	0	0	540	127	1299
Canon EOS 5D	2005	4368	3168	12	0	0	0	0	0	895	152	2499
Canon PowerShot S2 IS	2005	2592	2048	5	36	432	50	10	16	505	113	399
Canon PowerShot S80	2005	3264	2592	8	28	100	50	4	32	290	104	399
Canon PowerShot SD30	2005	2592	2048	5	38	90	0	10	16	120	96	199
Canon PowerShot SD400	2005	2592	2048	5	35	105	0	3	16	150	86	199
Canon PowerShot SD430 Wireless	2005	2592	2048	5	35	105	0	3	16	185	99	199
Canon PowerShot SD450	2005	2592	2048	5	35	105	0	3	16	155	86	199
Canon PowerShot SD500	2005	3072	2592	7	37	111	0	5	32	200	90	199
Canon PowerShot SD550	2005	3072	2592	7	37	111	0	5	32	185	90	199
Casio Exilim EX-P505	2005	2560	2048	4	38	190	40	1	7	275	99	249
Casio Exilim EX-S500	2005	2560	2304	4	38	114	40	17	8	125	90	249
Casio Exilim EX-S600	2005	2816	2304	6	38	114	40	15	8	155	90	249
Casio Exilim EX-Z10	2005	2560	2304	5	35	114	40	6	8	154	90	329
Casio Exilim EX-Z110	2005	2816	2304	6	35	114	40	6	8	151	90	329
Casio Exilim EX-Z120	2005	3072	2560	7	38	114	50	10	8	154	90	329
Casio Exilim EX-Z500	2005	2560	2304	5	38	114	40	17	8	127	89	329
Casio Exilim EX-Z57	2005	2560	2048	4	35	105	40	6	9	175	89	199
Casio Exilim EX-Z750	2005	3072	2304	7	38	114	40	10	9	165	89	329
Fujifilm FinePix A345 Zoom	2005	2304	2048	4	35	105	60	6	16	192	90	169
Fujifilm FinePix A350 Zoom	2005	2592	2048	5	35	105	60	6	16	192	90	169
Fujifilm FinePix E900 Zoom	2005	3488	2592	9	32	128	60	7	16	260	102	169
Fujifilm FinePix F10 Zoom	2005	2848	2048	6	36	108	60	8	16	190	92	179
Fujifilm FinePix F11 Zoom	2005	2848	2048	6	36	108	60	5	16	190	92	199
Fujifilm FinePix S5200 Zoom	2005	2592	2048	5	38	380	90	1	16	470	114	229
Fujifilm FinePix S9000 Z	2005	3488	2592	9	28	300	50	1	16	745	128	229
Fujifilm FinePix Z1	2005	2592	2048	5	36	108	60	8	16	170	90	179
Fujifilm FinePix Z2	2005	2592	2048	5	36	108	60	8	16	170	90	179
HP Photosmart E317	2005	2560	2048	5	35	35	60	10	16	231	95	179
HP Photosmart M22	2005	2320	1600	4	36	36	0	0	16	172	109	179
HP Photosmart M23	2005	2320	1600	4	36	36	0	10	16	172	109	179
HP Photosmart M417	2005	2576	2048	5	36	108	50	12	16	181	96	179
HP Photosmart M517	2005	2576	2048	5	36	108	80	12	16	190	97	179
HP Photosmart R717	2005	2864	2592	6	39	117	50	10	32	150	93	179
HP Photosmart R817	2005	2592	2048	5	36	180	20	3	32	205	100	179
HP Photosmart R818	2005	2592	2048	5	36	180	20	1	32	200	96	179
Kodak C300	2005	2096	0	3	37	37	80	0	16	198	104	129
Kodak C310	2005	2336	2313	4	35	35	85	85	16	154	103	129
Kodak C330	2005	2336	2304	4	34	102	60	13	16	180	91	129
Kodak C340	2005	2576	0	5	34	102	60	13	16	198	92	129
Kodak C360	2005	2690	2569	5	34	102	60	7	32	170	84	129
Kodak Easyshare One	2005	2304	0	4	36	100	60	10	256	275	103	296
Kodak P850	2005	2592	2048	5	36	432	10	10	32	450	108	146
Kodak P880	2005	3264	2560	8	24	140	10	5	32	570	116	146
Kodak V530	2005	2569	2576	5	36	108	60	7	16	150	92	126
Kodak V550	2005	2569	2576	5	36	108	60	7	32	160	94	126
Kodak Z700	2005	2304	0	4	35	175	60	10	16	270	97	126
Kodak Z730	2005	2576	2304	5	33	132	50	10	32	270	100	126
Kodak Z740	2005	2576	2304	5	38	380	60	12	32	330	98	126
Kodak Z7590	2005	2576	2576	5	38	380	60	12	32	400	97	126
Kodak Z760	2005	2872	2856	6	39	117	60	7	32	259	100	126
Leica D-LUX 2	2005	3840	3072	8	28	112	50	5	32	220	106	509
Nikon Coolpix 4600	2005	2288	1600	3	34	102	30	4	14	180	85	229
Nikon Coolpix 5600	2005	2592	2048	5	34	102	30	4	14	180	85	229
Nikon Coolpix 5900	2005	2592	2048	5	38	114	30	4	13	185	88	229
Nikon Coolpix 7600	2005	3072	2592	7	38	114	30	4	14	195	85	229
Nikon Coolpix 7900	2005	3072	2592	7	38	114	30	4	13	185	88	229
Nikon Coolpix L1	2005	2816	2048	6	38	190	50	4	10	195	90	99
Nikon Coolpix P1	2005	3264	2592	8	35	126	50	4	32	185	91	99
Nikon Coolpix P2	2005	2592	2048	5	35	126	50	4	16	185	91	229
Nikon Coolpix S1	2005	2592	2048	5	35	105	30	4	12	170	90	99
Nikon Coolpix S2	2005	2592	2048	5	35	105	30	4	12	160	92	199
Nikon Coolpix S3	2005	2816	2048	6	35	105	30	4	12	132	90	199
Nikon Coolpix S4	2005	2816	2048	6	38	380	30	6	13	225	112	199
Nikon D200	2005	3872	2896	10	0	0	0	0	0	920	147	1599
Nikon D2Hs	2005	2464	1840	4	0	0	0	0	0	1200	158	4699
Nikon D50	2005	3008	2256	6	0	0	0	0	0	620	133	1599
Nikon D70s	2005	3008	2240	6	0	0	0	0	0	679	140	1599
Olympus C-5500 Sport Zoom	2005	2592	2288	5	38	190	60	8	16	340	110	129
Olympus C-7070 Wide Zoom	2005	3072	2592	7	27	110	80	3	32	480	116	129
Olympus D-425	2005	2288	1600	3	37	37	50	20	14	170	101	1699
Olympus D-435	2005	2592	1600	5	36	35	50	20	0	140	101	1699
Olympus D-545 Zoom	2005	2288	1600	3	38	114	50	2	14	190	106	449
Olympus D-595 Zoom	2005	2560	1600	4	38	114	50	2	14	190	105	449
Olympus D-630 Zoom	2005	2560	1600	4	35	105	60	10	14	175	94	129
Olympus E-500	2005	3264	3200	8	0	0	0	0	0	479	130	1699
Olympus FE-100	2005	2272	1600	4	35	106	50	5	28	160	88	129
Olympus FE-110	2005	2560	1600	5	35	106	50	5	28	160	88	129
Olympus FE-120	2005	2816	1600	6	38	114	50	5	14	160	106	129
Olympus IR-300	2005	2560	2048	4	38	114	50	5	15	160	99	129
Olympus SP-310	2005	3072	2592	7	38	114	20	5	32	230	100	449
Olympus SP-350	2005	3264	2592	8	38	114	20	5	32	245	100	449
Olympus SP-500 UZ	2005	2816	2592	6	38	380	60	3	10	385	106	449
Olympus SP-700	2005	2816	2288	6	38	114	30	10	11	180	98	449
Olympus Stylus 600 	2005	2816	2560	6	35	105	50	7	8	195	97	229
Olympus Stylus 800 	2005	3264	2560	8	38	114	50	3	19	200	103	249
Olympus Stylus Verve  S	2005	2560	2048	4	35	70	50	8	16	165	95	299
Panasonic Lumix DMC-FX8	2005	2560	2560	5	35	105	50	5	16	155	94	1499
Panasonic Lumix DMC-FX9	2005	2816	2048	6	35	105	50	5	16	155	94	1499
Panasonic Lumix DMC-FZ30	2005	3264	2560	8	35	420	30	5	32	740	141	299
Panasonic Lumix DMC-FZ4	2005	2304	1600	4	35	420	50	5	8	326	102	149
Panasonic Lumix DMC-FZ5	2005	2560	2048	4	36	432	50	5	16	326	108	149
Panasonic Lumix DMC-LS1	2005	2304	1600	4	35	105	50	5	14	188	94	1499
Panasonic Lumix DMC-LX1	2005	3840	3072	8	28	112	50	5	32	220	106	1499
Panasonic Lumix DMC-LZ1	2005	2304	1600	4	37	222	50	5	14	224	101	149
Panasonic Lumix DMC-LZ2	2005	2560	2048	5	37	222	50	5	14	224	101	149
Pentax *ist DL	2005	3008	2400	6	0	0	0	0	0	565	125	799
Pentax *ist DS2	2005	3008	2400	6	0	0	0	0	0	605	125	799
Pentax Optio 50	2005	2560	2048	4	32	96	50	6	12	180	91	149
Pentax Optio 60	2005	2848	2272	6	36	108	50	5	12	200	91	149
Pentax Optio S45	2005	2304	1600	4	35	107	40	6	11	155	89	149
Pentax Optio S55	2005	2560	2304	5	35	107	40	6	11	155	89	149
Pentax Optio S5n	2005	2560	2304	4	35	107	40	6	9	120	84	149
Pentax Optio S5z	2005	2560	2304	5	35	107	40	6	9	120	83	149
Pentax Optio S6	2005	2816	2560	6	37	112	40	15	23	120	86	149
Pentax Optio S60	2005	2816	2560	6	35	106	40	6	11	135	89	149
Pentax Optio SVi	2005	2560	2048	5	36	180	60	3	32	165	91	149
Pentax Optio WP	2005	2560	2304	4	38	114	40	1	10	135	102	269
Pentax Optio WPi	2005	2816	2560	6	38	114	40	1	10	135	102	269
Ricoh Caplio R1V	2005	2560	2048	4	28	135	30	1	12	195	100	99
Ricoh Caplio R2	2005	2560	2048	4	28	135	30	1	28	195	100	99
Ricoh Caplio R3	2005	2560	2048	4	28	200	30	1	26	165	95	99
Ricoh Caplio RR530	2005	2560	2048	4	32	96	30	1	12	190	91	399
Ricoh GR Digital	2005	3264	2592	8	28	28	30	2	26	200	107	4999
Ricoh Caplio GX8	2005	3264	2592	8	28	85	30	1	26	260	114	99
Samsung Digimax A50	2005	2592	2272	5	35	105	80	5	11	185	107	229
Samsung Digimax A502	2005	2592	2272	5	31	31	100	2	16	175	97	229
Samsung Digimax A55W	2005	2592	2272	5	28	135	60	1	32	185	106	229
Samsung Digimax i5	2005	2595	2272	5	39	117	50	5	50	155	90	229
Samsung Pro815	2005	3264	2400	8	28	420	10	3	0	910	136	299
Samsung Digimax V700	2005	3072	2816	7	38	114	80	4	128	220	106	229
Samsung Digimax V800	2005	3264	2816	8	38	114	80	4	32	220	106	229
Sony DSC-H1	2005	2592	2048	5	36	432	50	2	32	591	108	429
Sony DSC-M2	2005	2592	2048	5	38	114	50	1	32	240	51	399
Sony DSC-N1	2005	3264	2592	8	38	114	50	6	32	139	94	429
Sony DSC-P200	2005	3072	2592	7	38	114	50	6	32	180	104	399
Sony DSC-R1	2005	3888	3264	10	24	120	0	0	0	995	139	429
Sony DSC-S40	2005	2304	2048	4	32	96	0	0	32	184	99	149
Sony DSC-S60	2005	2304	2048	4	39	117	50	10	32	249	97	149
Sony DSC-S90	2005	2304	2048	4	39	117	50	10	32	253	97	149
Sony DSC-T33	2005	2592	2048	5	38	114	50	8	32	150	99	399
